team,head_coach,offensive_coordinator,primary_play_caller,new_play_caller,qb_coaching_score,rb_coaching_score,wr_coaching_score,te_coaching_score,coaching_draft_signal,positions_to_target,positions_to_caution,confidence,fantasy_rationale,last_verified_date,qb_multiplier,rb_multiplier,wr_multiplier,te_multiplier
HOU,DeMeco Ryans,Nick Caley,Nick Caley,No,0,0,0,0,No New Coaching Edge,None from coaching alone,None,High,Caley enters Year 2. No new 2026 coaching adjustment.,2026-08-09,1.000,1.000,1.000,1.000
IND,Shane Steichen,Jim Bob Cooter,Shane Steichen,No,0,0,0,0,No New Coaching Edge,None from coaching alone,None,High,Same offensive architect and caller.,2026-08-09,1.000,1.000,1.000,1.000
JAX,Liam Coen,Grant Udinski,Liam Coen,No,0,0,0,0,No New Coaching Edge,None from coaching alone,None,High,Year 2 of Coen's system. Do not apply another coaching bump simply because the offense has continuity.,2026-08-09,1.000,1.000,1.000,1.000
KC,Andy Reid,Eric Bieniemy,Andy Reid,No,0,0,0,0,No New Coaching Edge,None from coaching alone,None,High,"Bieniemy's return matters operationally, but Reid remains the primary caller.",2026-08-09,1.000,1.000,1.000,1.000
LAC,Jim Harbaugh,Mike McDaniel,Mike McDaniel,Yes,+2,+2,+1,+1,Strong Target,"QB, RB, WR, TE",None,High,"Strongest coaching upgrade in the league. McDaniel brings motion, spacing, quick-game concepts, outside zone and a strong history of using RBs in both the running and passing games. Coaching should be a legitimate positive tiebreaker on Chargers players.",2026-08-09,1.030,1.030,1.015,1.015
LAR,Sean McVay,Nate Scheelhaase,Sean McVay,No,0,0,0,0,No New Coaching Edge,None from coaching alone,None,High,"Coordinator changed, primary offensive architect and play caller did not.",2026-08-09,1.000,1.000,1.000,1.000
LV,Klint Kubiak,Andrew Janocko,Klint Kubiak,Yes,+1,+2,0,+2,Strong Target,"RB, TE, QB",None,High,Kubiak has a strong history of emphasizing his best offensive players and maintaining a physical rushing attack. RB and TE are the strongest coaching targets.,2026-08-09,1.015,1.030,1.000,1.030
MIA,Jeff Hafley,Bobby Slowik,Bobby Slowik,Yes,0,-1,+1,0,Selective Target,WR,RB,High,"Slowik remains within the broader Shanahan/West Coast family, but his history points toward less RB receiving concentration than Miami had under McDaniel. WRs may absorb a larger share.",2026-08-09,1.000,0.985,1.015,1.000
MIN,Kevin O'Connell,Wes Phillips,Kevin O'Connell,No,0,0,0,0,No New Coaching Edge,None from coaching alone,None,High,Same offensive architect and caller.,2026-08-09,1.000,1.000,1.000,1.000
NE,Mike Vrabel,Josh McDaniels,Josh McDaniels,No,0,0,0,0,No New Coaching Edge,None from coaching alone,None,High,Year 2 of McDaniels running the offense.,2026-08-09,1.000,1.000,1.000,1.000
NO,Kellen Moore,Doug Nussmeier,Kellen Moore,No,0,0,0,0,No New Coaching Edge,None from coaching alone,None,High,Same primary caller and system.,2026-08-09,1.000,1.000,1.000,1.000
NYG,John Harbaugh,Matt Nagy,Matt Nagy,Yes,0,+1,-1,+1,Selective Target,"RB, TE",WR,Medium,"Nagy will call plays, with John Harbaugh and Greg Roman adding a strong physical run-game influence. RB and TE receive the clearest positive signals, while overall WR volume carries more uncertainty.",2026-08-09,1.000,1.015,0.985,1.015
NYJ,Aaron Glenn,Frank Reich,Frank Reich,Yes,0,-1,-1,+1,Selective Target,TE,"RB, WR",High,Reich's offenses have often used multiple backs and meaningful TE volume. That can reduce concentrated RB workloads and WR target share.,2026-08-09,1.000,0.985,0.985,1.015
PHI,Nick Sirianni,Sean Mannion,Sean Mannion,Yes,+1,+1,+1,+1,Target,"QB, RB, WR, TE",None,Low,"Mannion is a first-time caller but brings Green Bay/McVay influenced concepts and is expected to add rhythm, under-center offense and play action while preserving Philadelphia's established strengths.",2026-08-09,1.015,1.015,1.015,1.015
PIT,Mike McCarthy,Brian Angelichio,Mike McCarthy,Yes,+1,0,+1,0,Selective Target,"QB, WR",None,High,McCarthy should shift Pittsburgh toward a more quarterback-friendly and WR-oriented passing attack. Keep the adjustment modest rather than assuming the entire offense dramatically improves.,2026-08-09,1.015,1.000,1.015,1.000
SEA,Mike Macdonald,Brian Fleury,Brian Fleury,Yes,0,0,0,+1,Selective Target,TE,None,Low,"Fleury is a first-time caller and plans to preserve much of the successful Kubiak/Shanahan structure. His TE background creates a modest TE signal, but there is not enough evidence to upgrade the entire offense.",2026-08-09,1.000,1.000,1.000,1.015
SF,Kyle Shanahan,Klay Kubiak,Kyle Shanahan,No,0,0,0,0,No New Coaching Edge,None from coaching alone,None,High,Maximum offensive continuity.,2026-08-09,1.000,1.000,1.000,1.000
TB,Todd Bowles,Zac Robinson,Zac Robinson,Yes,+1,0,+1,+1,Selective Target,"QB, WR, TE",None,High,"Robinson brings McVay-style motion, play action and zone concepts. Passing-game structure creates the clearest positive coaching signal.",2026-08-09,1.015,1.000,1.015,1.015
TEN,Robert Saleh,Brian Daboll,Brian Daboll,Yes,+1,-1,+1,0,Selective Target,"QB, WR",RB,High,Daboll's strongest fantasy impact should come through quarterback development and his ability to feature a primary receiver. His history gives less confidence in a concentrated workhorse RB role.,2026-08-09,1.015,0.985,1.015,1.000
WAS,Dan Quinn,David Blough,David Blough,Yes,+1,0,+1,0,Selective Target,"QB, WR",None,Low,"Blough is a first-time caller, so the adjustment stays small. His expected use of motion, under-center concepts and play action provides upside for the quarterback and passing game.",2026-08-09,1.015,1.000,1.015,1.000
